LI,Currency,Score,ISO Currency Code
Cabo Verde,Cape Verde,80,CVE
St. Lucia,Saint Lucia,80,XCD
"Iran, Islamic Rep.",Iran (Islamic Republic of),82,IRR
Timor-Leste,East Timor,82,USD
"Congo, Dem. Rep.",Congo Republic of the Democratic,86,CDF
"Congo, Rep.",Congo (Kinshasa),86,XAF
Curacao,Curaçao,86,ANG
Kyrgyz Republic,Central African Republic,86,KGS
Lao PDR,Lao PeopleÕs Democratic Republic,86,LAK
"Micronesia, Fed. Sts.",Micronesia Federated States of,86,USD
St. Kitts and Nevis,Saint Kitts,86,XCD
St. Vincent and the Grenadines,Antigua and Barbuda,86,XCD
West Bank and Gaza,Heard and Mc Donald Islands,86,ILS
"Bahamas, The",Bahamas,90,BSD
Croatia,Croatia (Hrvatska),90,HRK
"Egypt, Arab Rep.",Egypt,90,EGP
"Gambia, The",Gambia,90,GMD
"Hong Kong SAR, China",China,90,HKD
Libya,Libyan Arab Jamahiriya,90,LYD
"Macao SAR, China",China,90,MOP
Moldova,Moldova Republic of,90,Unknown
North Macedonia,Macedonia,90,MKD
Slovak Republic,Slovakia (Slovak Republic),90,EUR
"Yemen, Rep.",Yemen,90,YER
Australia,Australian,95,AUD
"Venezuela, RB",Venezuela,95,VES
