LI,Currency,Score,ISO Currency Code,Currency Long Name
Cabo Verde,Cape Verde,80,CVE,Cabo Verde Escudo
St. Lucia,Saint Lucia,80,XCD,East Caribbean Dollar
"Iran, Islamic Rep.",Iran (Islamic Republic of),82,IRR,Iranian Rial
Timor-Leste,East Timor,82,USD,US Dollar
"Congo, Dem. Rep.",Congo Republic of the Democratic,86,CDF,Congolese Franc
"Congo, Rep.",Congo (Kinshasa),86,XAF,CFA Franc BEAC
Curacao,Cura√ßao,86,ANG,Netherlands Antillean Guilder
Kyrgyz Republic,Central African Republic,86,KGS,Som
Lao PDR,Lao People√ïs Democratic Republic,86,LAK,Kip
"Micronesia, Fed. Sts.",Micronesia Federated States of,86,USD,US Dollar
St. Kitts and Nevis,Saint Kitts,86,XCD,East Caribbean Dollar
St. Vincent and the Grenadines,Antigua and Barbuda,86,XCD,East Caribbean Dollar
West Bank and Gaza,Heard and Mc Donald Islands,86,ILS,New Israeli Sheqel
"Bahamas, The",Bahamas,90,BSD,Bahamian Dollar
Croatia,Croatia (Hrvatska),90,HRK,Kuna
"Egypt, Arab Rep.",Egypt,90,EGP,Egyptian Pound
"Gambia, The",Gambia,90,GMD,Dalasi
"Hong Kong SAR, China",China,90,HKD,Hong Kong Dollar
Libya,Libyan Arab Jamahiriya,90,LYD,Libyan Dinar
"Macao SAR, China",China,90,MOP,Pataca
Moldova,Moldova Republic of,90,MDL,Moldovan Leu
North Macedonia,Macedonia,90,MKD,Denar
Slovak Republic,Slovakia (Slovak Republic),90,EUR,Euro
"Yemen, Rep.",Yemen,90,YER,Yemeni Rial
Australia,Australian,95,AUD,Australian Dollar
"Venezuela, RB",Venezuela,95,VES,Venezuelan Bolívar
